unit_id,period,treated,post,creation,curation,novelty,ownership_share,covariate_age,covariate_curation,weight
u0,2024-05-13T00:00:00.000000,1,0,4.207937577243772,1.6169725745839894,0.2789369609865341,0.0487811175818378,3.982802218501835,1.4288596313057464,1.0
u0,2024-05-20T00:00:00.000000,1,0,4.02115433945202,1.36561111283703,0.3434159020835371,0.022519296894778357,3.982802218501835,1.4288596313057464,1.0
u0,2024-05-27T00:00:00.000000,1,0,4.246621610960683,1.5844180183915362,1.3233437281532627,0.0411380806635415,3.982802218501835,1.4288596313057464,1.0
u0,2024-06-03T00:00:00.000000,1,0,4.123055021177448,1.2570011387290987,1.1537110953300862,0.0031908628052087665,3.982802218501835,1.4288596313057464,1.0
u0,2024-06-10T00:00:00.000000,1,0,4.246337308894017,1.418874449108496,1.5403667061622104,0.01772629840649342,3.982802218501835,1.4288596313057464,1.0
u0,2024-06-17T00:00:00.000000,1,0,4.349564620104044,1.397953734891986,1.5789286444401476,0.00973193539259838,3.982802218501835,1.4288596313057464,1.0
u0,2024-06-24T00:00:00.000000,1,0,4.142494974167839,1.5019484441785622,0.3931500349283409,0.034152447662122734,3.982802218501835,1.4288596313057464,1.0
u0,2024-07-01T00:00:00.000000,1,1,6.625296498762973,1.3475766280288233,0.7190681804624887,0.018522985301743445,3.982802218501835,1.4288596313057464,1.0
u0,2024-07-08T00:00:00.000000,1,1,6.167596045274483,1.6546540898499247,0.3468508601373961,0.02378524631129669,3.982802218501835,1.4288596313057464,1.0
u0,2024-07-15T00:00:00.000000,1,1,5.735457853794463,1.5589781888706866,0.9305886458574283,0.041633909802891875,3.982802218501835,1.4288596313057464,1.0
u0,2024-07-22T00:00:00.000000,1,1,5.631443667393073,1.5374904849667854,1.6812936226508821,0.040238217874840096,3.982802218501835,1.4288596313057464,1.0
u0,2024-07-29T00:00:00.000000,1,1,6.017807961244054,1.472597350651549,1.3967414575524535,0.006987624180465491,3.982802218501835,1.4288596313057464,1.0
u0,2024-08-05T00:00:00.000000,1,1,6.186476287423403,1.4423754452035247,1.595156317254063,0.03324254282960161,3.982802218501835,1.4288596313057464,1.0
u0,2024-08-12T00:00:00.000000,1,1,5.545655472545135,1.3649253880342862,0.9719399735228459,0.028437059797644687,3.982802218501835,1.4288596313057464,1.0
u1,2024-05-13T00:00:00.000000,1,0,0.8693371568664856,0.7143398768190218,1.173948602314259,0.03824994287080128,1.1290864915744585,0.5206842059007256,1.0
u1,2024-05-20T00:00:00.000000,1,0,1.1779124111059602,0.6379286721725812,1.1624936054162858,0.01519750490313061,1.1290864915744585,0.5206842059007256,1.0
u1,2024-05-27T00:00:00.000000,1,0,1.0244689698999272,0.4282138473678122,0.5077108783571055,0.02042643218623181,1.1290864915744585,0.5206842059007256,1.0
u1,2024-06-03T00:00:00.000000,1,0,0.7463805945730819,0.2940267631000295,0.21077520920922543,0.014069194601099828,1.1290864915744585,0.5206842059007256,1.0
u1,2024-06-10T00:00:00.000000,1,0,1.171814212395628,0.6587812767142793,1.1583610894484289,0.039194910455320676,1.1290864915744585,0.5206842059007256,1.0
u1,2024-06-17T00:00:00.000000,1,0,1.3167636097646596,0.45881489795667796,1.646638730865466,0.008348645995385196,1.1290864915744585,0.5206842059007256,1.0
u1,2024-06-24T00:00:00.000000,1,0,1.020170337604937,0.4443366271010598,1.4724827661332556,0.02309386151256937,1.1290864915744585,0.5206842059007256,1.0
