unit_id,period,count,treated,post
0x0000,2024-01-01T00:00:00.000000,2,1,0
0x0000,2024-01-08T00:00:00.000000,2,1,0
0x0000,2024-01-15T00:00:00.000000,2,1,0
0x0000,2024-01-22T00:00:00.000000,2,1,0
0x0000,2024-01-29T00:00:00.000000,2,1,0
0x0000,2024-02-05T00:00:00.000000,2,1,1
0x0000,2024-02-12T00:00:00.000000,2,1,1
0x0000,2024-02-19T00:00:00.000000,2,1,1
0x0001,2024-01-01T00:00:00.000000,1,1,0
0x0001,2024-01-08T00:00:00.000000,1,1,0
0x0001,2024-01-15T00:00:00.000000,1,1,0
0x0001,2024-01-22T00:00:00.000000,1,1,0
0x0001,2024-01-29T00:00:00.000000,1,1,0
0x0001,2024-02-05T00:00:00.000000,1,1,1
0x0001,2024-02-12T00:00:00.000000,1,1,1
0x0001,2024-02-19T00:00:00.000000,1,1,1
0x0002,2024-01-01T00:00:00.000000,1,1,0
0x0002,2024-01-08T00:00:00.000000,1,1,0
0x0002,2024-01-15T00:00:00.000000,1,1,0
0x0002,2024-01-22T00:00:00.000000,1,1,0
0x0002,2024-01-29T00:00:00.000000,1,1,0
0x0002,2024-02-05T00:00:00.000000,1,1,1
0x0002,2024-02-12T00:00:00.000000,1,1,1
0x0002,2024-02-19T00:00:00.000000,1,1,1
0x0003,2024-01-01T00:00:00.000000,1,1,0
0x0003,2024-01-08T00:00:00.000000,1,1,0
0x0003,2024-01-15T00:00:00.000000,1,1,0
0x0003,2024-01-22T00:00:00.000000,1,1,0
0x0003,2024-01-29T00:00:00.000000,1,1,0
0x0003,2024-02-05T00:00:00.000000,1,1,1
0x0003,2024-02-12T00:00:00.000000,1,1,1
0x0003,2024-02-19T00:00:00.000000,1,1,1
0x0004,2024-01-01T00:00:00.000000,1,1,0
0x0004,2024-01-08T00:00:00.000000,1,1,0
0x0004,2024-01-15T00:00:00.000000,1,1,0
0x0004,2024-01-22T00:00:00.000000,1,1,0
0x0004,2024-01-29T00:00:00.000000,1,1,0
0x0004,2024-02-05T00:00:00.000000,1,1,1
0x0004,2024-02-12T00:00:00.000000,1,1,1
0x0004,2024-02-19T00:00:00.000000,1,1,1
0x0005,2024-01-01T00:00:00.000000,1,1,0
0x0005,2024-01-08T00:00:00.000000,1,1,0
0x0005,2024-01-15T00:00:00.000000,1,1,0
0x0005,2024-01-22T00:00:00.000000,1,1,0
0x0005,2024-01-29T00:00:00.000000,1,1,0
0x0005,2024-02-05T00:00:00.000000,1,1,1
0x0005,2024-02-12T00:00:00.000000,1,1,1
0x0005,2024-02-19T00:00:00.000000,1,1,1
0x0006,2024-01-01T00:00:00.000000,1,1,0
0x0006,2024-01-08T00:00:00.000000,1,1,0
0x0006,2024-01-15T00:00:00.000000,1,1,0
0x0006,2024-01-22T00:00:00.000000,1,1,0
0x0006,2024-01-29T00:00:00.000000,1,1,0
0x0006,2024-02-05T00:00:00.000000,1,1,1
0x0006,2024-02-12T00:00:00.000000,1,1,1
0x0006,2024-02-19T00:00:00.000000,1,1,1
0x0007,2024-01-01T00:00:00.000000,1,1,0
0x0007,2024-01-08T00:00:00.000000,1,1,0
0x0007,2024-01-15T00:00:00.000000,1,1,0
0x0007,2024-01-22T00:00:00.000000,1,1,0
0x0007,2024-01-29T00:00:00.000000,1,1,0
0x0007,2024-02-05T00:00:00.000000,1,1,1
0x0007,2024-02-12T00:00:00.000000,1,1,1
0x0007,2024-02-19T00:00:00.000000,1,1,1
0x0008,2024-01-01T00:00:00.000000,1,0,0
0x0008,2024-01-08T00:00:00.000000,1,0,0
0x0008,2024-01-15T00:00:00.000000,1,0,0
0x0008,2024-01-22T00:00:00.000000,1,0,0
0x0008,2024-01-29T00:00:00.000000,1,0,0
0x0008,2024-02-05T00:00:00.000000,1,0,1
0x0008,2024-02-12T00:00:00.000000,1,0,1
0x0008,2024-02-19T00:00:00.000000,1,0,1
0x0009,2024-01-01T00:00:00.000000,1,0,0
0x0009,2024-01-08T00:00:00.000000,1,0,0
0x0009,2024-01-15T00:00:00.000000,1,0,0
0x0009,2024-01-22T00:00:00.000000,1,0,0
0x0009,2024-01-29T00:00:00.000000,1,0,0
0x0009,2024-02-05T00:00:00.000000,1,0,1
0x0009,2024-02-12T00:00:00.000000,1,0,1
0x0009,2024-02-19T00:00:00.000000,1,0,1
0x000a,2024-01-01T00:00:00.000000,1,0,0
0x000a,2024-01-08T00:00:00.000000,1,0,0
0x000a,2024-01-15T00:00:00.000000,1,0,0
0x000a,2024-01-22T00:00:00.000000,1,0,0
0x000a,2024-01-29T00:00:00.000000,1,0,0
0x000a,2024-02-05T00:00:00.000000,1,0,1
0x000a,2024-02-12T00:00:00.000000,1,0,1
0x000a,2024-02-19T00:00:00.000000,1,0,1
0x000b,2024-01-01T00:00:00.000000,1,0,0
0x000b,2024-01-08T00:00:00.000000,1,0,0
0x000b,2024-01-15T00:00:00.000000,1,0,0
0x000b,2024-01-22T00:00:00.000000,1,0,0
0x000b,2024-01-29T00:00:00.000000,1,0,0
0x000b,2024-02-05T00:00:00.000000,1,0,1
0x000b,2024-02-12T00:00:00.000000,1,0,1
0x000b,2024-02-19T00:00:00.000000,1,0,1
0x000c,2024-01-01T00:00:00.000000,1,0,0
0x000c,2024-01-08T00:00:00.000000,1,0,0
0x000c,2024-01-15T00:00:00.000000,1,0,0
0x000c,2024-01-22T00:00:00.000000,1,0,0
0x000c,2024-01-29T00:00:00.000000,1,0,0
0x000c,2024-02-05T00:00:00.000000,1,0,1
0x000c,2024-02-12T00:00:00.000000,1,0,1
0x000c,2024-02-19T00:00:00.000000,1,0,1
0x000d,2024-01-01T00:00:00.000000,1,0,0
0x000d,2024-01-08T00:00:00.000000,1,0,0
0x000d,2024-01-15T00:00:00.000000,1,0,0
