source,event_type,entity_id,entity_address,timestamp,vp,space_id
snapshot,vote,v0_0x0000,0x0000,2024-01-06T00:00:00.000000,64.05920704482398,space_a
snapshot,vote,v0_0x0001,0x0001,2024-01-06T00:00:00.000000,27.70888466262316,space_a
snapshot,vote,v0_0x0002,0x0002,2024-01-06T00:00:00.000000,5.056378869683274,space_a
snapshot,vote,v0_0x0003,0x0003,2024-01-06T00:00:00.000000,2.63623591732438,space_a
snapshot,vote,v0_0x0004,0x0004,2024-01-06T00:00:00.000000,81.51375368082697,space_a
snapshot,vote,v0_0x0005,0x0005,2024-01-06T00:00:00.000000,91.36280215049445,space_a
snapshot,vote,v0_0x0006,0x0006,2024-01-06T00:00:00.000000,61.05694180095081,space_a
snapshot,vote,v0_0x0007,0x0007,2024-01-06T00:00:00.000000,73.22015953741584,space_a
snapshot,vote,v0_0x0008,0x0008,2024-01-06T00:00:00.000000,54.81887415507686,space_a
snapshot,vote,v0_0x0009,0x0009,2024-01-06T00:00:00.000000,93.57216995498905,space_a
snapshot,vote,v0_0x000a,0x000a,2024-01-06T00:00:00.000000,81.76950185803169,space_a
snapshot,vote,v0_0x000b,0x000b,2024-01-06T00:00:00.000000,1.2711115168446614,space_a
snapshot,vote,v0_0x000c,0x000c,2024-01-06T00:00:00.000000,85.88302338216937,space_a
snapshot,vote,v0_0x000d,0x000d,2024-01-06T00:00:00.000000,4.324971955240971,space_a
snapshot,vote,v0_0x000e,0x000e,2024-01-06T00:00:00.000000,73.23588919656446,space_a
snapshot,proposal,p0,0x0000,2024-01-06T00:00:00.000000,,space_a
snapshot,vote,v1_0x0000,0x0000,2024-01-13T00:00:00.000000,18.38990643965334,space_a
snapshot,vote,v1_0x0001,0x0001,2024-01-13T00:00:00.000000,86.45471331263877,space_a
snapshot,vote,v1_0x0002,0x0002,2024-01-13T00:00:00.000000,54.60466080466008,space_a
snapshot,vote,v1_0x0003,0x0003,2024-01-13T00:00:00.000000,30.671477163201093,space_a
snapshot,vote,v1_0x0004,0x0004,2024-01-13T00:00:00.000000,42.846034898568185,space_a
